label|disc|genus|model|atkin_lehner
text|integer|smallint|text|integer[]

10.11-[1,110]|10|0|[X[2]^2-X[1]*X[3]]|[1,110]
10.11-[1,10]|10|2|[11*X[1]^6-13*X[1]^5*X[3]-6*X[1]^4*X[3]^2+X[1]^3*X[2]+25*X[1]^3*X[3]^3-6*X[1]^2*X[3]^4-13*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3+11*X[3]^6]|[1,10]
10.11-[1,22]|10|2|[-X[1]^6+2*X[1]^4*X[3]^2+X[1]^3*X[2]+7*X[1]^3*X[3]^3+2*X[1]^2*X[3]^4+X[2]^2+X[2]*X[3]^3-X[3]^6]|[1,22]
10.11-[1,2]|10|2|[8*X[1]^6-61*X[1]^5*X[3]+100*X[1]^4*X[3]^2+83*X[1]^3*X[3]^3-58*X[1]^2*X[3]^4-60*X[1]*X[3]^5+X[2]^2+40*X[3]^6]|[1,2]
10.11-[1,11]|10|3|[2*X[1]^8+49*X[1]^6*X[3]^2+397*X[1]^4*X[3]^4+X[1]^3*X[2]*X[3]+1079*X[1]^2*X[3]^6+X[1]*X[2]*X[3]^3+X[2]^2+22*X[3]^8]|[1,11]
10.11-[1,55]|10|3|[-2*X[1]^7*X[3]-5*X[1]^6*X[3]^2+18*X[1]^5*X[3]^3+30*X[1]^4*X[3]^4+X[1]^3*X[2]*X[3]-67*X[1]^3*X[3]^5-21*X[1]^2*X[3]^6+X[1]*X[2]*X[3]^3+41*X[1]*X[3]^7+X[2]^2-13*X[3]^8]|[1,55]
10.11-[1,5]|10|3|[2*X[1]^8-31*X[1]^6*X[3]^2+117*X[1]^4*X[3]^4+X[1]^3*X[2]*X[3]+43*X[1]^2*X[3]^6+X[1]*X[2]*X[3]^3+X[2]^2+10*X[3]^8]|[1,5]
10.11-[1]|10|5|[-8*X[1]^12-35*X[1]^10+30*X[1]^8+277*X[1]^6+120*X[1]^4-560*X[1]^2-X[2]^2-512]|[1]
10.13-[1]|10|3|[5*X[1]^4-74*X[1]^2-X[2]^2+325,-2*X[1]^2-X[3]^2-25]|[1]
10.13-[1,65]|10|0|[2*X[1]^2+50*X[2]^2+X[3]^2]|[1,65]
10.13-[1,10]|10|1|[X[2]^2-X[1]*X[3],-1/5*X[1]^2-398/25*X[2]^2-325*X[3]^2+X[4]^2]|[1,10]
10.13-[1,130]|10|1|[X[2]^2-X[1]*X[3],-208*X[1]^2+296/25*X[2]^2-1/5*X[3]^2+X[4]^2]|[1,130]
10.13-[1,13]|10|1|[X[2]^2-X[1]*X[3],-208*X[1]^2-504*X[2]^2-325*X[3]^2+X[4]^2]|[1,13]
10.13-[1,26]|10|2|[53*X[1]^6+50*X[1]^5*X[3]+172*X[1]^4*X[3]^2+100*X[1]^3*X[3]^3+172*X[1]^2*X[3]^4+50*X[1]*X[3]^5+X[2]^2+53*X[3]^6]|[1,26]
10.13-[1,2]|10|2|[3*X[1]^6-23*X[1]^5*X[3]+63*X[1]^4*X[3]^2-72*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+63*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2-23*X[1]*X[3]^5+X[2]^2+3*X[3]^6]|[1,2]
10.13-[1,5]|10|2|[13*X[1]^6+39*X[1]^5*X[3]+87*X[1]^4*X[3]^2+109*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+106*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2+58*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3+22*X[3]^6]|[1,5]
10.19-[1]|10|5|[-8*X[1]^6+57*X[1]^4-40*X[1]^2-X[2]^2+16,5*X[1]^2-X[3]^2-32]|[1]
10.19-[1,38]|10|0|[X[1]^2-160*X[2]^2-5*X[3]^2]|[1,38]
10.19-[1,10]|10|2|[2*X[1]^6-6*X[1]^5*X[3]+40*X[1]^4*X[3]^2-70*X[1]^3*X[3]^3+416*X[1]^2*X[3]^4-382*X[1]*X[3]^5+X[2]^2+94*X[3]^6]|[1,10]
10.19-[1,190]|10|2|[-X[1]^6+3*X[1]^5*X[3]-X[1]^4*X[3]^2-2*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]+X[1]*X[2]*X[3]^2+3*X[1]*X[3]^5+X[2]^2+X[2]*X[3]^3]|[1,190]
10.19-[1,2]|10|2|[185*X[1]^6+205*X[1]^5*X[3]-121*X[1]^4*X[3]^2-442*X[1]^3*X[3]^3+X[1]^2*X[2]*X[3]-121*X[1]^2*X[3]^4+X[1]*X[2]*X[3]^2+205*X[1]*X[3]^5+X[2]^2+185*X[3]^6]|[1,2]
10.19-[1,19]|10|3|[8*X[1]^8+185*X[1]^6*X[3]^2+1425*X[1]^4*X[3]^4+X[1]^3*X[2]*X[3]+3673*X[1]^2*X[3]^6+X[1]*X[2]*X[3]^3+X[2]^2+38*X[3]^8]|[1,19]
10.19-[1,5]|10|3|[2*X[1]^8-21*X[1]^6*X[3]^2+127*X[1]^4*X[3]^4+X[1]^3*X[2]*X[3]-135*X[1]^2*X[3]^6+X[1]*X[2]*X[3]^3+X[2]^2+40*X[3]^8]|[1,5]
10.19-[1,95]|10|3|[-X[1]^7*X[3]-5*X[1]^6*X[3]^2-13*X[1]^5*X[3]^3+X[1]^4*X[2]-55*X[1]^4*X[3]^4-91*X[1]^3*X[3]^5+X[1]^2*X[2]*X[3]^2-7*X[1]^2*X[3]^6+36*X[1]*X[3]^7+X[2]^2+X[2]*X[3]^4+12*X[3]^8]|[1,95]
10.23-[1,230]|10|0|[X[2]^2-X[1]*X[3]]|[1,230]
10.23-[1,10]|10|4|[43*X[1]^10+271*X[1]^9*X[3]+704*X[1]^8*X[3]^2+917*X[1]^7*X[3]^3+745*X[1]^6*X[3]^4+528*X[1]^5*X[3]^5+745*X[1]^4*X[3]^6+917*X[1]^3*X[3]^7+704*X[1]^2*X[3]^8+271*X[1]*X[3]^9+X[2]^2+43*X[3]^10]|[1,10]
10.23-[1,115]|10|4|[2*X[1]^10-21*X[1]^8*X[3]^2+117*X[1]^6*X[3]^4+X[1]^4*X[2]*X[3]-361*X[1]^4*X[3]^6+X[1]^2*X[2]*X[3]^3+552*X[1]^2*X[3]^8+X[2]^2-320*X[3]^10]|[1,115]
10.23-[1,5]|10|4|[172*X[1]^10-224*X[1]^9*X[3]+574*X[1]^8*X[3]^2+78*X[1]^7*X[3]^3+957*X[1]^6*X[3]^4+356*X[1]^5*X[3]^5+2928*X[1]^4*X[3]^6+X[1]^3*X[2]*X[3]^2-1599*X[1]^3*X[3]^7+X[1]^2*X[2]*X[3]^3+3657*X[1]^2*X[3]^8-1588*X[1]*X[3]^9+X[2]^2+940*X[3]^10]|[1,5]
10.23-[1,23]|10|5|[-20*X[1]^12-120*X[1]^11*X[3]-318*X[1]^10*X[3]^2-490*X[1]^9*X[3]^3-451*X[1]^8*X[3]^4-185*X[1]^7*X[3]^5+62*X[1]^6*X[3]^6+94*X[1]^5*X[3]^7+X[1]^4*X[2]*X[3]^2-3*X[1]^4*X[3]^8-60*X[1]^3*X[3]^9+X[1]^2*X[2]*X[3]^4+29*X[1]*X[3]^11+X[2]^2+X[2]*X[3]^6+11*X[3]^12]|[1,23]
